Genus;Species;Center Lat;Center Long;C-Square;Depth (m);Surface Water Temp. (°C);Bottom Water Temp. (°C);Surface Salinity (psu);Bottom Salinity (psu);Primary Production (mgC·m-3·day-1);Sea Ice Concentration (0-1 fraction);Dissolved Bottom Oxygen (mmol·m-3);Distance to Land (km)
Sardinella;aurita;6.75;-11.25;7001:361:3;101;27.63924026;27.93969536;30.06087875;34.44429016;12.90600002;0;205.3517151;15
Sardinella;aurita;6.75;-12.25;7001:362:3;2286;27.89372444;3.404525042;33.16625214;34.94638443;7.876000367;0;235.2101288;96
Sardinella;aurita;7.25;-11.75;7001:371:2;22;27.58205795;27.92069626;29.75445747;34.39664078;21.31300047;0;205.4316711;8
Sardinella;aurita;7.25;-12.75;7001:372:2;683;27.69786835;10.2238512;31.98723221;35.12300873;12.65200041;0;67.43319702;96
Sardinella;aurita;7.75;-13.25;7001:373:3;203;27.67610741;27.98914337;32.43228149;34.63474655;8.891999722;0;205.0462494;96
Sardinella;aurita;7.75;-13.75;7001:373:4;175;27.73706436;19.85526848;33.44531631;35.72570419;4.761000164;0;140.1996155;133
Sardinella;aurita;7.75;-57.25;7005:477:3;218;28.09076881;21.4311142;34.31080627;36.40907288;8.937999606;0;172.5579529;172
Sardinella;aurita;8.25;-13.25;7001:383:1;135;27.76228905;28.00337982;31.91379356;34.7895546;11.47300005;0;209.9321594;23
Sardinella;aurita;8.25;-58.25;7005:488:1;280;28.15044212;27.35692787;34.73968506;36.12067032;11.81400008;0;206.4365234;129
Sardinella;aurita;8.75;-54.75;7005:384:4;2638;28.23009109;3.043363094;33.32558823;34.95664597;5.580000114;0;264.4031677;333
Sardinella;aurita;8.75;-13.75;7001:383:4;46;27.79971504;25.61721611;32.90052032;35.24835587;8.732000366;0;210.0717316;96
Sardinella;aurita;8.75;-16.25;7001:486:3;3649;27.68064499;1.996587992;34.97229767;34.89001083;1.969000092;0;244.090271;285
Sardinella;aurita;9.25;-80.25;7008:390:1;222;28.19075394;28.27092552;34.94136047;35.50231552;3.198999912;0;201.0080109;17
Sardinella;aurita;9.25;-14.75;7001:394:2;51;27.54358673;22.50385094;34.52224731;35.50234222;3.419999965;0;190.2424622;148
Sardinella;aurita;9.25;-17.75;7001:497:2;2960;27.38214111;2.585203886;35.09360123;34.92442703;1.730000018;0;243.214325;331
Sardinella;aurita;9.75;-60.75;7006:390:4;43;28.02658653;27.26405525;32.596138;36.17618179;36.75499931;0;204.6200562;27
Sardinella;aurita;9.75;-75.75;7007:495:4;32;28.92476654;28.79924965;34.85298538;35.6793251;31.9009982;0;203.1296844;23
Sardinella;aurita;9.75;-13.75;7001:393:4;43;27.83081627;27.9225235;32.20294571;34.03223801;27.08099969;0;204.9550171;19
Sardinella;aurita;9.75;-14.25;7001:394:3;79;27.69299889;27.19506645;32.94094849;35.16418076;12.2659998;0;212.8582458;84
Sardinella;aurita;9.75;-56.75;7005:496:4;3533;28.21846199;2.173738003;33.86086655;34.90908813;3.562999889;0;263.9998779;364
Sardinella;aurita;10.25;-64.25;7106:104:1;252;26.49966049;26.56701279;35.5499382;35.76605606;30.79460748;0;208.0966492;5
Sardinella;aurita;10.25;-65.25;7106:205:1;73;26.62557411;26.45624733;36.26422501;36.24892426;23.55699986;0;209.0789948;20
Sardinella;aurita;10.25;-83.25;7108:103:1;349;28.21651268;26.59588242;35.10098648;36.54711151;11.38699986;0;210.9878235;15
Sardinella;aurita;10.25;-65.75;7106:205:2;68;26.78063202;26.77362442;36.04547501;36.16506577;20.55300027;0;206.673584;12
Sardinella;aurita;10.25;-14.75;7101:104:2;15;27.46082306;27.67521477;32.86884689;34.79013062;10.11800021;0;208.9152069;27
Sardinella;aurita;10.25;-15.75;7101:205:2;110;26.93660927;23.75843811;34.33764267;35.48946762;7.946000434;0;198.5255585;133
Sardinella;aurita;10.25;-16.25;7101:206:1;51;26.66789818;21.9661026;34.67410278;35.50034714;8.086999878;0;188.4561005;166
Sardinella;aurita;10.25;-61.75;7106:101:2;14;28.05151176;28.15471458;32.52985382;35.1157608;37.30199859;0;208.267868;24
Sardinella;aurita;10.75;-63.75;7106:103:4;27;26.11197281;26.31435013;36.16041183;35.86654282;37.66899928;0;208.7710266;20
Sardinella;aurita;10.75;-82.25;7108:102:3;2268;28.37081337;3.881162882;35.59889603;34.97262192;0.214;0;200.8261719;129
Sardinella;aurita;10.75;-79.25;7107:209:3;3490;28.20992088;3.857203007;35.56275558;34.97763824;0.246000011;0;195.0146484;166
Sardinella;aurita;10.75;-83.75;7108:103:4;23;28.23962784;22.62759972;34.60927582;35.70669937;18.86801235;0;190.9694214;4
Sardinella;aurita;10.75;-65.25;7106:205:3;827;26.79603767;4.771644115;36.194561;34.9007225;11.68099977;0;182.1519623;27
Sardinella;aurita;10.75;-66.25;7106:206:3;156;26.75608826;21.11869049;36.17848969;36.62508011;15.59100021;0;171.5762634;20
Sardinella;aurita;10.75;-68.25;7106:208:3;33;27.26219559;26.52280426;36.45673752;36.48924637;10.8939996;0;210.0456696;14
Sardinella;aurita;10.75;-16.25;7101:206:3;8;26.72319603;26.53735733;34.36034393;35.25060272;12.59000041;0;210.2998505;110
Sardinella;aurita;10.75;-60.25;7106:100:3;448;28.18929672;5.486174107;33.73536301;34.61824799;14.72199988;0;171.3851929;109
Sardinella;aurita;10.75;-16.75;7101:206:4;79;26.31758308;18.70113182;34.61317444;35.66294479;13.30600027;0;132.3930511;133
Sardinella;aurita;10.75;-61.25;7106:101:3;63;27.94060326;25.26993179;32.76372528;36.13636017;31.33865818;0;194.8126678;11
Sardinella;aurita;10.75;-61.75;7106:101:4;73;27.82592201;25.70988464;31.6355896;36.15470123;28.26200053;0;200.1269989;26
Sardinella;aurita;11.25;-60.75;7106:110:2;137;27.99952507;28.00699425;33.46526718;34.14878464;18.97899993;0;204.6542358;26
Sardinella;aurita;11.25;-62.75;7106:112:2;81;27.31220627;24.69693756;33.74769974;36.2304039;34.93599966;0;199.7779083;97
Sardinella;aurita;11.25;-75.75;7107:215:2;2159;28.05745888;3.92505908;35.32250977;34.97071838;2.186999889;0;210.7470551;129
Sardinella;aurita;11.25;-73.25;7107:113:1;86;27.65886879;21.66194534;35.07054901;35.6602478;20.0288929;0;193.2794037;8
Sardinella;aurita;11.25;-16.25;7101:216:1;4;27.24312592;27.2369709;34.08948898;35.0003891;13.61900009;0;203.8331757;25
Sardinella;aurita;11.25;-74.25;7107:114:1;415;27.48976326;27.71393585;35.2395401;35.83765793;29.83199991;0;205.4046783;21
Sardinella;aurita;11.75;-17.25;7101:217:3;385;25.86738968;16.54776955;34.72500992;35.59788132;17.03999937;0;83.74750519;132
Sardinella;aurita;11.75;-72.25;7107:112:3;53;27.06615257;26.9400177;34.9586525;36.18228149;19.04308982;0;206.2106934;5
